account,date,daily_pnl,trades_count,avg_trade_size_usd,win_rate,long_short_ratio,classification,next_day_pnl,profit_bucket
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-09,-7919.471032000002,730,6219.798493150685,0.30684931506849317,0.0,Extreme Greed,-25991.506339,Loss
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,-25991.506339,1309,10190.317929717341,0.3315508021390374,0.0,Neutral,111230.498007,Profit
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-27,111230.498007,1703,19645.16682912507,0.3282442748091603,0.0,Greed,223968.37089299998,Profit
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-19,223968.37089299998,3737,20468.303636606903,0.39175809472839174,0.0,Fear,7687.978187,Neutral
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-06-15,7687.978187,105,17592.19438095238,0.49523809523809526,0.0,,,
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-10-27,0.0,223,3261.5788789237668,0.0,0.0,Greed,403501.648209,Profit
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-19,403501.648209,5777,28304.44506318158,0.4156136402977324,0.0,Fear,436920.907007,Profit
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-06-15,436920.907007,6236,41153.69550032072,0.4021808851828095,0.0,,,
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-10-27,101539.274031,250,525.47136,1.0,0.0,Greed,6979.340871,Neutral
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-19,6979.340871,572,891.0710664335664,0.2692307692307692,0.0,Fear,212.60187,Loss
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-06-15,212.60187,153,568.6079738562091,0.1111111111111111,0.0,,,
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-10-27,327545.999992,202,16311.138465346536,0.5148514851485149,0.0,Greed,98269.195073,Profit
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-19,98269.195073,932,8098.078723175966,0.43991416309012876,0.0,Fear,3540.3708500000002,Loss
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-06-15,3540.3708500000002,456,1386.494692982456,0.07894736842105263,0.0,,,
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-27,51737.579418,419,2305.200429594272,0.028639618138424822,0.0,Greed,341945.434741,Profit
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-19,341945.434741,939,2123.4002662406815,0.3961661341853035,0.0,Fear,9328.49,Neutral
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-06-15,9328.49,72,1269.3402777777778,0.75,0.0,,,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,187842.08419,3041,3677.8091055573827,0.8240710292666886,0.0,Extreme Greed,0.16271999999999998,Loss
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-07-03,0.16271999999999998,6,34.916666666666664,0.16666666666666666,0.0,Neutral,37526.331877,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-10-27,37526.331877,1016,2056.391348425197,0.8208661417322834,0.0,Greed,136208.043913,Profit
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,136208.043913,4885,2330.3033080859777,0.7985670419651996,0.0,Fear,17518.784011,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-06-15,17518.784011,945,1134.6507724867724,0.8253968253968254,0.0,,,
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-02-19,14781.443047,1554,3643.361287001287,0.4510939510939511,0.0,Fear,119.0,Loss
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-06-15,119.0,5,36540.202000000005,0.8,0.0,,,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-10-27,0.0,15,2333.2533333333336,0.0,0.0,Greed,196303.792847,Profit
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-19,196303.792847,3056,2249.731112565445,0.28763089005235604,0.0,Fear,-363924.917628,Loss
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-06-15,-363924.917628,1530,2113.4516666666664,0.5764705882352941,0.0,,,
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-10-27,11.717676000000012,54,933.2848148148149,0.037037037037037035,0.0,Greed,64510.169958,Profit
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-19,64510.169958,1802,6453.556398446171,0.3401775804661487,0.0,Fear,991.770272,Loss
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-06-15,991.770272,55,5808.497454545454,0.2909090909090909,0.0,,,
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-03,-9125.157325,3810,772.3728871391077,0.32545931758530183,0.0,Neutral,39978.37791,Neutral
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,39978.37791,1804,1376.8141407982262,0.32427937915742794,0.0,Greed,46257.358187,Neutral
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-19,46257.358187,5602,658.3625776508391,0.30739021777936454,0.0,Fear,-33193.569796,Loss
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-06-15,-33193.569796,3782,843.5024510840825,0.10100475938656796,0.0,,,
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2024-10-27,8695.357326,724,2936.1985911602205,0.07596685082872928,0.0,Greed,100502.420808,Profit
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-02-19,100502.420808,2080,3430.149134615385,0.3903846153846154,0.0,Fear,17381.164,Neutral
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-06-15,17381.164,248,6983.216774193548,0.016129032258064516,0.0,,,
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,49180.714882,4211,1636.15022559962,0.418665400142484,0.0,Greed,40314.808014,Neutral
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,40314.808014,9274,1157.8793541082598,0.32003450506793185,0.0,Fear,16807.35236,Neutral
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-06-15,16807.35236,2120,1056.7010613207547,0.3136792452830189,0.0,,,
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-03,-14505.50575,39,7877.326666666667,0.0,0.0,Neutral,67900.247545,Profit
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,67900.247545,283,1684.2025795053005,0.5477031802120141,0.0,Greed,19451.742477,Neutral
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,19451.742477,95,820.6771578947369,0.8842105263157894,0.0,Fear,,
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,20925.513222,190,3387.3391578947367,0.5526315789473685,0.0,Greed,8751.751449,Neutral
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,8751.751449,182,3072.9576923076925,0.2692307692307692,0.0,Fear,38168.35486,Neutral
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-06-15,38168.35486,191,2484.57057591623,0.39790575916230364,0.0,,,
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,55.01524,9,1862.9299999999998,0.2222222222222222,0.0,Greed,21703.816512999998,Neutral
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,21703.816512999998,525,8441.060742857142,0.3238095238095238,0.0,Fear,,
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,155.50335699999994,1043,11034.799511025887,0.2751677852348993,0.0,Greed,2606.8947559999997,Loss
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,2606.8947559999997,3076,7639.724411573472,0.21879063719115735,0.0,Extreme Greed,62586.1816,Neutral
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,62586.1816,1643,2875.2178940961658,0.20998174071819842,0.0,Neutral,1421755.845871,Profit
